elapsed_time_in_intervals_10min,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_momentum,p2_momentum,elapsed_time_in_intervals
0.0,1.0,1.2307692307692308,7.0,0.0,0.0,0.0,0.23076923076923078,1.7692307692307692,1.2307692307692308,1.6923076923076923,2.923076923076923,4.076923076923077,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,14.029923076923076,14.200615384615386,3.3846153846153846,117.6923076923077,-0.014632762695980258,0.32564574374711286,268.0769230769231
600.0,1.0,2.8,18.5,0.0,0.0,0.0,1.8,1.6,1.4,1.6,7.0,11.5,0.4,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.2,0.0,0.3,0.0,0.1,0.0,0.2,27.581,26.167799999999993,6.0,110.2,-0.012367654604557346,0.6226286573760076,862.7
1200.0,1.0,4.733333333333333,31.0,0.0,0.0,0.0,3.7333333333333334,1.3333333333333333,1.2666666666666666,1.6,11.266666666666667,19.733333333333334,0.26666666666666666,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333,15.002799999999999,16.378133333333334,3.533333333333333,117.2,0.09496632764714244,0.5195359826329919,1487.9333333333334
1800.0,1.4615384615384615,4.076923076923077,45.0,0.0,0.46153846153846156,0.38461538461538464,2.6923076923076925,1.3846153846153846,1.2307692307692308,1.4615384615384615,17.0,28.0,0.3076923076923077,0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,15.714230769230769,18.201615384615383,3.6923076923076925,121.0909090909091,0.12125356613294896,0.16346565170490351,2095.0
2400.0,2.0,2.1818181818181817,57.0,0.0,1.0,1.1818181818181819,0.0,1.8181818181818181,1.6363636363636365,1.4545454545454546,23.90909090909091,33.09090909090909,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,20.48,19.702727272727273,4.818181818181818,103.6,0.5184557402453069,0.17611598590106456,2712.2727272727275
3000.0,2.0,3.4,67.5,0.0,1.0,2.0,0.4,1.4,1.4,1.6,29.5,38.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,27.6856,26.9988,6.4,111.7,0.050595819763722946,0.6276766102031609,3275.7
3600.0,2.0,4.714285714285714,79.5,0.0,1.0,2.0,1.7142857142857142,1.2857142857142858,1.2142857142857142,1.5,34.214285714285715,45.285714285714285,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,24.12814285714285,24.544214285714286,5.928571428571429,118.35714285714286,0.14229021158660302,0.18371938415061498,3911.8571428571427
4200.0,2.0,6.4,91.5,0.0,1.0,3.0,2.4,1.6,1.5,1.4,40.9,50.6,0.3,0.0,0.1,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.231900000000003,24.1635,5.6,109.8,0.40981467001077865,0.21437104875711577,4533.4
4800.0,2.0,8.5,101.5,0.0,1.0,4.0,3.5,1.5,1.6,1.5,45.9,55.6,0.3,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.570199999999996,16.468,4.4,106.0,0.19205466391998322,0.08688044429446098,5130.7
5400.0,2.0,10.2,111.5,0.0,1.0,5.0,4.2,1.8,1.3,1.6,51.3,60.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,28.595499999999998,26.6856,6.6,111.1,-0.07725675706029408,0.023702690129953567,5713.8
